rank,title,price
1,Hotel Window,26896000
2,Figure 4,17400000
3,Ericksons,10344000
4,Head and Bottle,6536000
5,Quality Material,4408000
6,Portrait of the Artist and His Friends,2618925
7,Tender Nurse,2256000
8,Mouth #2,2168000
9,Untitled - P137,1810276
10,Night,1384000
11,Falling Figure with Bird,1248000
12,High Society,968000
13,Flannan,936000
14,Sinking Ship,902564
15,Those Who Are Here Again,824000
16,Bob's World,822400
17,Captives,779200
18,Moth,747825
19,Self-Portrait as Goofy-Foot,744000
20,Nu debout,689600
21,Lavender Mist,420000
22,Lip-biter,384000
23,Armenian Question,288000
24,"Untitled (Monsieur François Pinault, Président du Groupe Artemis)",240000
25,Colorado River,192000
26,Bruce Bernard,119556
27,M-39,96000
28,Red Scarf,54000
29,Lotus Rising,14400
30,ramana,9600
31,RED CHANGER,9100
32,Interval Series apolyo,9000
33,Canada Two Toronto,8550
34,THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,8000
35,abstract66,7500
36,Botticelli e Filippino,7000
37,1304,6000
38,under the sun,4800
39,It is my thing this Evening,4500
40,Jasmine,4200
41,scarlet,4000
42,muse 18,3750
43,BLUE SELLY 2,3200
44,You are beautiful,2800
45,Red Irises,2500
46,celestial,1900
47,Mandala No3,1500
48,Galloping Horse Blur,1200
49,Morning,1100
50,Recompensa,980
51,The girl in red,950
52,White line melody,850
53,Flor,800
54,On The Couch,700
55,Elemental 11,675
56,Midsummer Night,650
57,Sharp Angle,350
58,Waiting for the rain,100
59,Amazing land,89
60,Samurai,85
61,Panic,75
62,sleepy land,65
63,structure I,50
64,Mapping the Soul,35
65,HOW MUCH,25
66,Intruder,20
